rozmiar,gestosc,sredni_czas_us,srednia_gestosc
10,0.25,0.04,0.00244444
10,0.5,0.06,0.00511111
10,0.75,0.05,0.007
10,1,0.06,0.01
50,0.25,4.56,0.00243673
50,0.5,5.52,0.00505306
50,0.75,5.33,0.00747347
50,1,4.71,0.01
100,0.25,37.82,0.00249192
100,0.5,66.35,0.00500707
100,0.75,49.05,0.00745657
100,1,36.85,0.01
200,0.25,381.67,0.00250276
200,0.5,507.36,0.0050108
200,0.75,402.3,0.00747538
200,1,247.96,0.01
500,0.25,5505.16,0.00250806
500,0.5,8584.61,0.00499828
500,0.75,6354.4,0.00750248
500,1,3790.92,0.01
